ColumnName,DataType
GEP_DATAID,bigint
UNIQUEID,nvarchar
INVOICE_DOCUMENT_TYPE,nvarchar
INVOICE_POSTING_KEY,nvarchar
INVOICE_DOCUMENT_NUMBER,nvarchar
INVOICE_NUMBER,nvarchar
INVOICE_LINE_NUMBER,nvarchar
INVOICE_DISTRIBUTION_LINE_NUMBER,nvarchar
INVOICE_NUMBER_2,nvarchar
INVOICE_NUMBER_3,nvarchar
INVOICE_VOUCHER_NUMBER,nvarchar
INVOICE_VOUCHER_LINE_NUMBER,nvarchar
INVOICE_JOURNAL_NUMBER,nvarchar
INVOICE_LINE_TYPE,nvarchar
INVOICE_PAYMENT_METHOD,nvarchar
INVOICE_CREATION_DATE,date
INVOICE_RECEIPT_DATE,date
INVOICE_PERIOD_ID,nvarchar
INVOICE_POSTING_DATE,date
INVOICE_ACCOUNTING_DATE,date
INVOICE_PAID_DATE,date
INVOICE_LINE_AMOUNT_NORMALIZED,float
PO_UNIT_PRICE_LOCAL,float
INVOICE_LINE_AMOUNT_CURRENCY,nvarchar
INVOICE_DEBIT_CREDIT_INDICATOR,nvarchar
INVOICE_UNIT_PRICE_NORMALIZED,float
INVOICE_LINE_AMOUNT_LOCAL,float
INVOICE_UNIT_PRICE_CURRENCY,nvarchar
INVOICE_QUANTITY,float
INVOICE_UOM,nvarchar
INVOICE_LINE_DESCRIPTION,nvarchar
INVOICE_LINE_DESCRIPTION_2,nvarchar
INVOICE_CREATED_BY,nvarchar
INVOICE_APPROVED_BY,nvarchar
INVOICE_LANGUAGE_KEY,nvarchar
INVOICE_STATUS,nvarchar
INVOICE_TYPE,nvarchar
SHIPPING_CODE,nvarchar
SHIPPING_MODE_TYPE,nvarchar
SHIPPING_TYPE,nvarchar
INVOICE_DIRECT_INDIRECT_INDICATOR,nvarchar
CAPEX_OPEX_INDICATOR,nvarchar
DOMESTIC_INTERNALTIONAL_INDICATOR,nvarchar
GEP_NORM_INVOICE_UNIT_PRICE_USD,float
GEP_NORM_INVOICE_UNIT_PRICE_EUR,float
GEP_NORM_INVOICE_QUANTITY,float
GEP_NORM_INVOICE_UOM,nvarchar
EXCH_MONTH,nvarchar
EXCH_YEAR,nvarchar
EXCH_RATE,float
GEP_NORM_SPEND_USD,float
GEP_NORM_SPEND_USD_WITHOUT_TAX,float
GEP_NORM_SPEND_EUR,float
GEP_NORM_SPEND_EUR_WITHOUT_TAX,float
GEP_NORM_SPEND_GBP,float
GEP_NORM_SPEND_AUD,float
GEP_NORM_SPEND_CAD,float
GEP_NORM_SPEND_CNY,float
GEP_NORM_SPEND_JPY,float
GEP_NORM_SPEND_CHF,float
GEP_NORM_SPEND_MXN,float
GEP_NORM_SPEND_NOK,float
GEP_NORMALIZED_PO_UNIT_PRICE_USD,float
GEP_NORMALIZED_PO_UNIT_PRICE_EUR,float
GEP_NORM_DATE,date
CREATED_DATE,datetime
MODIFIED_DATE,datetime
GEP_SUPP_CLUSTER,int
GEP_CLN_CLUSTER,bigint
GEP_BU_CLUSTER,int
GEP_EXCLUDE,bit
GEP_EXCLUSION_COMMENTS,nvarchar
GEP_EXCLUSION_CRITERIA,nvarchar
GEP_TRANSLATED_SUPP_NAME,nvarchar
GEP_TRANSLATED_INVOICE_LINE_DESCRIPTION,nvarchar
GEP_TRANSLATED_PO_DESCRIPTION,nvarchar
GEP_TRANSLATED_MATERIAL_DESCRIPTION,nvarchar
GEP_TRANSLATED_DESCRIPTION_2,nvarchar
GEP_ACTUAL_PAYMENT_TERM_DAYS,float
GEP_PO_AVG_UNIT_PRICE,float
GEP_ONE_TIME_SUPP_FLAG,nvarchar
GEP_ONE_ITEM_MULTI_SUPP_FLAG,nvarchar
GEP_ONE_SUPP_MULTI_BU_FLAG,nvarchar
GEP_ONE_SUPP_MULTI_PAYTERM_FLAG,nvarchar
GEP_SUPP_SPEND_TOP_BUCKET,nvarchar
GEP_SUPP_SPEND_BUCKET,nvarchar
GEP_INV_SPEND_BUCKET,nvarchar
GEP_PO_SPEND_BUCKET,nvarchar
GEP_PAYTERM_BUCKET,nvarchar
GEP_TRANS_BUCKET,nvarchar
GEP_PRIORITY,nvarchar
GEP_QA_FLAG_VNE,nvarchar
GEP_QA_FLAG_CF,nvarchar
GEP_QA_FLAG_OTH,nvarchar
GEP_SLA_FLAG_VNE,nvarchar
GEP_SLA_FLAG_CF,nvarchar
GEP_AI_SOURCE_CF,nvarchar
GEP_AI_ALGO_VNE,nvarchar
GEP_AI_ALGO_CF,nvarchar
GEP_FEEDBACK_FLAG,nvarchar
GEP_VNE_FEEDBACK_FLAG,nvarchar
GEP_VNE_SOURCE,nvarchar
GEP_VNE_SOURCE_2,nvarchar
GEP_VNE_HISTORICAL_FLAG,nvarchar
GEP_UP_STATUS_FLAG,nvarchar
GEP_UP_SOURCE,nvarchar
GEP_UP_SOURCE_2,nvarchar
GEP_UP_HISTORICAL_FLAG,nvarchar
GEP_CF_SOURCE,nvarchar
GEP_CF_SOURCE_2,nvarchar
GEP_CF_HISTORICAL_FLAG,nvarchar
GEP_JOB_ID,bigint
GEP_JOB_NAME,nvarchar
GEP_COMMENTS,nvarchar
GEP_DUPLICATE_KEY_FLAG,nvarchar
GEP_DUPLICATE_KEY_ID,nvarchar
GEP_DUPLICATE_ALL_FLAG,nvarchar
GEP_DUPLICATE_ALL_ID,nvarchar
GEP_RULE_ID,int
GEP_RULE_ID_VNE,nvarchar
GEP_RULE_ID_OTHER,int
RULE_PROVIDER,nvarchar
RULE_SOURCE,nvarchar
RULE_TYPE_NAME,nvarchar
GEP_CF_STATUS_FLAG,nvarchar
GEP_VNE_STATUS_FLAG,nvarchar
GEP_CONFIDENCE_FLAG,nvarchar
GEP_DELIVERY_STATUS,nvarchar
GEP_CF_USER,nvarchar
GEP_VNE_USER,nvarchar
GEP_AI_DL_CATEGORY_L1,nvarchar
GEP_AI_DL_CATEGORY_L2,nvarchar
GEP_AI_DL_CATEGORY_L3,nvarchar
GEP_AI_DL_CATEGORY_L4,nvarchar
GEP_AI_DL_SUPPLIER_SIC_NAICS,nvarchar
GEP_MANAGED_CATEGORY_FLAG,nvarchar
GEP_SOURCING_SCOPE_FLAG,nvarchar
GEP_SOLE_SOURCING_FLAG,nvarchar
GEP_BUYING_CHANNEL,nvarchar
GEP_PAYMENT_CHANNEL,nvarchar
GEP_SOURCING_REGION,nvarchar
GEP_PO_NON_PO_FLAG,nvarchar
GEP_CONTRACT_FLAG,nvarchar
GEP_CONFIDENTIAL_FLAG,nvarchar
GEP_INTERCOMPANY_FLAG,nvarchar
GEP_DISCONTINUED_FLAG,nvarchar
GEP_CATEGORY_MANAGER_GLOBAL,nvarchar
GEP_CATEGORY_MANAGER_REGION,nvarchar
INVOICE_UNIT_PRICE_IN_LOCAL_CURRENCY,float
BUSINESS_DIVISION,nvarchar
DEPARTMENT_CODE,nvarchar
DEPARTMENT_DESCRIPTION,nvarchar
BUSINESS_UNIT_CODE,nvarchar
BUSINESS_UNIT_DESC,nvarchar
BUSINESS_GROUP_DESC,nvarchar
BUSINESS_GROUP_DESC_2,nvarchar
BUSINESS_GROUP_DESC_3,nvarchar
BUSINESS_GROUP_DESC_4,nvarchar
BUSINESS_GROUP_DESC_5,nvarchar
BUSINESS_GROUP_DESC_6,nvarchar
GEP_NORM_BUSINESS_UNIT,nvarchar
GEP_NORM_BU_LEVEL1,nvarchar
GEP_NORM_BU_LEVEL2,nvarchar
GEP_NORM_BU_LEVEL3,nvarchar
GEP_NORM_BU_LEVEL4,nvarchar
COMPANY_CODE,nvarchar
COMPANY_NAME,nvarchar
COMPANY_COUNTRY,nvarchar
